name,price
流畅的Python 流畅Python Python流畅 Python,76.45
Python带我起飞(入门进阶商业实战),43.45
Python基础教程/高等学校计算机应用规划教材,61.20
计算机科学概论 Python版(异步图书出品),24.50
Python机器学习及实践/人工智能科学与技术丛书,35.55
Python 3基础教程:慕课版 计算机与互联网 刘凡馨，夏帮贵主编 人民邮电出版社 9787115,34.40
包邮 Python编程 从入门到实践 Python3.5编程书籍,66.80
零起点Python大数据与量化交易,71.28
毫无障碍学Python,49.30
3册 Python数据可视化之美专业图表绘制指南 Python数据可视化之matplotlib实践,173.36
Python语言及其应用,55.30
Python数据科学指南(异步图书出品),35.55
零起点Python大数据与量化交易,69.30
【官方正版】Python机器学习实践指南 编程语言教程书籍 教你构建真实的机器学习应用程序,69.00
Python微控制器编程从零开始 使用MicroPython,22.41
Python学习笔记(从入门到实战),53.75
Python量化交易：策略、技巧与实战,69.80
自学是门手艺 李笑来 没有自学能力的人没有未来python编程从入门到精通 python编程快速上手,51.00
包邮 Selenium3自动化测试实战 基于Python语言,42.10
跟老齐学Python,51.30
Python Web开发基础教程(Django版工业和信息化十三五人才培养规划教材),37.49
包邮 金融科技人工智能实战-以Python为工具,48.30
Python数据分析基础,47.00
Python编程基础与应用,33.00
Python编程基础（视频讲解版）,42.40
Python3面向对象编程(第2版),69.80
Python语言程序设计基础 第2版 嵩天 python编程入门书籍 python书籍,27.50
Python3.7编程快速入门,46.02
Python3.x全栈开发从入门到精通,63.39
包邮 深度学习入门-基于Python的理论与实现+笨办法 学Python 3全2册,78.90
HEAD FIRT PYTHON(第2版)(美)保罗？巴里 ,97.30
Python极客项目编程 Python编程开发Python基础教程  人民邮电出版社,56.60
用Python写网络爬虫(第2版),41.70
Python轻松学：爬虫、游戏与架站,51.74
包邮 从零开始学Python 编程语言与程序设计,23.20
Python机器学习,50.60
Python游戏设计案例实战,43.51
Python程序设计现代方法,39.84
Python爬虫大数据采集与挖掘(微课视频版)/大数据与人工智能技术丛书,36.98
Python Web开发实战,77.20
Python程序设计开发宝典,51.54
